,0
0.001,0.0
0.002,2.9501091932145557e-06
0.003,7.820160898241709e-06
0.004,1.4581790119515094e-05
0.005,2.3209120076685656e-05
0.006,3.3678110518291017e-05
0.007,4.596616878400077e-05
0.008,6.005189186165198e-05
0.009,7.591488308373467e-05
0.01,9.353561534062423e-05
0.011,0.0001128953252172071
0.012,0.0001339759287150171
0.013,0.00015675995262904338
0.014,0.00018123047763294773
0.015,0.00020737109034587122
0.016,0.000235165842436855
0.017,0.00026459921534396653
0.018,0.0002956560895430272
0.019,0.0003283217175529067
0.02,0.0003625817000463575
0.021,0.0003984219645689486
0.022,0.0004358287464691036
0.023,0.0004747885717182802
0.024,0.0005152882413593178
0.025,0.0005573148173668304
0.026,0.0006008556097399824
0.027,0.0006458981646768963
0.028,0.0006924302537034563
0.029,0.0007404398636482784
0.03,0.000789915187371265
0.031,0.0008408446151660671
0.032,0.0008932167267675285
0.033,0.0009470202839041699
0.034,0.0010022442233434475
0.035,0.0010588776503837757
0.036,0.0011169098327529295
0.037,0.001176330194877111
0.038,0.0012371283124888797
0.039,0.0012992939075457505
0.04,0.0013628168434342634
0.041,0.0014276871204368198
0.042,0.0014938948714411373
0.043,0.0015614303578739002
0.044,0.0016302839658421623
0.045,0.0017004462024674863
0.046,0.0017719076923993758
0.047,0.001844659174495441
0.048,0.0019186914986573213
0.049,0.0019939956228117815
0.05,0.00207056261002782
0.051,0.0021483836257611792
0.052,0.0022274499352180227
0.053,0.002307752900830895
0.054,0.0023892839798401134
0.055,0.002472034721974115
0.056,0.00255599676722358
0.057,0.002641161843703526
0.058,0.002727521765598714
0.059,0.002815068431187842
0.06,0.0029037938209419975
0.061,0.0029936899956938623
0.062,0.0030847490948735794
0.063,0.00317696333480811
0.064,0.0032703250070807667
0.065,0.0033648264769479685
0.066,0.0034604601818104055
0.067,0.0035572186297359474
0.068,0.0036550943980319375
0.069,0.003754080131864526
0.07,0.003854168542922614
0.071,0.0039553524081249155
0.072,0.004057624568367589
0.073,0.00416097792731119
0.074,0.004265405450204755
0.075,0.00437090016274574
0.076,0.004477455149974194
0.077,0.004585063555199566
0.078,0.004693718578959099
0.079,0.00480341347800631
0.08,0.004914141564328238
0.081,0.00502589620419059
0.082,0.005138670817209553
0.083,0.005252458875449087
0.084,0.005367253902543008
0.085,0.00548304947284051
0.086,0.0055998392105747995
0.087,0.005717616789053429
0.088,0.005836375929869795
0.089,0.005956110402135116
0.09,0.006076814021729942
0.091,0.006198480650574493
0.092,0.00632110419591757
